InstrumentID,ExchangeID,ProductID,ProductClass,UnderlyingExchangeID,UnderlyingInstrID,InstrumentID2,ExchangeID2,ProductID2,ProductClass2,UnderlyingExchangeID2,UnderlyingInstrID2,PriceTick,ExpireDate,Symbol
SR805P6300,CZCE,SR_O,Options,CZCE,SR805,SR805P6300,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805P6300
SR807C6300,CZCE,SR_O,Options,CZCE,SR807,SR807C6300,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807C6300
SR807P6300,CZCE,SR_O,Options,CZCE,SR807,SR807P6300,CZCE,SR_O,OPTIONS,CZCE,SR807,0.5,20180525,CZCE.SR807P6300
SR809C6300,CZCE,SR_O,Options,CZCE,SR809,SR809C6300,CZCE,SR_O,OPTIONS,CZCE,SR809,0.5,20180725,CZCE.SR809C6300
SR809P6300,CZCE,SR_O,Options,CZCE,SR809,SR809P6300,CZCE,SR_O,OPTIONS,CZCE,SR809,0.5,20180725,CZCE.SR809P6300
m1709-C-3100,DCE,m_o,Options,DCE,m1709,M1709-C-3100,DCE,M_O,OPTIONS,DCE,M1709,0.5,20170807,DCE.M1709-C-3100
m1709-P-3100,DCE,m_o,Options,DCE,m1709,M1709-P-3100,DCE,M_O,OPTIONS,DCE,M1709,0.5,20170807,DCE.M1709-P-3100
ZC805,CZCE,ZC,Futures,CZCE,,ZC805,CZCE,ZC,FUTURES,CZCE,,0.2,20180508,CZCE.ZC805
l1803,DCE,l,Futures,DCE,,L1803,DCE,L,FUTURES,DCE,,5.0,20180314,DCE.L1803
jm1803,DCE,jm,Futures,DCE,,JM1803,DCE,JM,FUTURES,DCE,,0.5,20180314,DCE.JM1803
i1803,DCE,i,Futures,DCE,,I1803,DCE,I,FUTURES,DCE,,0.5,20180314,DCE.I1803
fb1803,DCE,fb,Futures,DCE,,FB1803,DCE,FB,FUTURES,DCE,,0.05,20180314,DCE.FB1803
LR803,CZCE,LR,Futures,CZCE,,LR803,CZCE,LR,FUTURES,CZCE,,1.0,20180314,CZCE.LR803
cs1803,DCE,cs,Futures,DCE,,CS1803,DCE,CS,FUTURES,DCE,,1.0,20180314,DCE.CS1803
IF1707,CFFEX,IF,Futures,CFFEX,,IF1707,CFFEX,IF,FUTURES,CFFEX,,0.2,20170721,CFFEX.IF1707
IC1707,CFFEX,IC,Futures,CFFEX,,IC1707,CFFEX,IC,FUTURES,CFFEX,,0.2,20170721,CFFEX.IC1707
IH1707,CFFEX,IH,Futures,CFFEX,,IH1707,CFFEX,IH,FUTURES,CFFEX,,0.2,20170721,CFFEX.IH1707
IC1712,CFFEX,IC,Futures,CFFEX,,IC1712,CFFEX,IC,FUTURES,CFFEX,,0.2,20171215,CFFEX.IC1712
IF1712,CFFEX,IF,Futures,CFFEX,,IF1712,CFFEX,IF,FUTURES,CFFEX,,0.2,20171215,CFFEX.IF1712
IH1712,CFFEX,IH,Futures,CFFEX,,IH1712,CFFEX,IH,FUTURES,CFFEX,,0.2,20171215,CFFEX.IH1712
fu1712,SHFE,fu,Futures,SHFE,,FU1712,SHFE,FU,FUTURES,SHFE,,1.0,20171130,SHFE.FU1712
l1802,DCE,l,Futures,DCE,,L1802,DCE,L,FUTURES,DCE,,5.0,20180222,DCE.L1802
jd1802,DCE,jd,Futures,DCE,,JD1802,DCE,JD,FUTURES,DCE,,1.0,20180223,DCE.JD1802
bb1802,DCE,bb,Futures,DCE,,BB1802,DCE,BB,FUTURES,DCE,,0.05,20180222,DCE.BB1802
pp1802,DCE,pp,Futures,DCE,,PP1802,DCE,PP,FUTURES,DCE,,1.0,20180222,DCE.PP1802
TA802,CZCE,TA,Futures,CZCE,,TA802,CZCE,TA,FUTURES,CZCE,,2.0,20180214,CZCE.TA802
MA802,CZCE,MA,Futures,CZCE,,MA802,CZCE,MA,FUTURES,CZCE,,1.0,20180214,CZCE.MA802
SM802,CZCE,SM,Futures,CZCE,,SM802,CZCE,SM,FUTURES,CZCE,,2.0,20180214,CZCE.SM802
FG802,CZCE,FG,Futures,CZCE,,FG802,CZCE,FG,FUTURES,CZCE,,1.0,20180214,CZCE.FG802
p1802,DCE,p,Futures,DCE,,P1802,DCE,P,FUTURES,DCE,,2.0,20180222,DCE.P1802
j1802,DCE,j,Futures,DCE,,J1802,DCE,J,FUTURES,DCE,,0.5,20180222,DCE.J1802
jm1802,DCE,jm,Futures,DCE,,JM1802,DCE,JM,FUTURES,DCE,,0.5,20180222,DCE.JM1802
i1802,DCE,i,Futures,DCE,,I1802,DCE,I,FUTURES,DCE,,0.5,20180222,DCE.I1802
fb1802,DCE,fb,Futures,DCE,,FB1802,DCE,FB,FUTURES,DCE,,0.05,20180222,DCE.FB1802
SF802,CZCE,SF,Futures,CZCE,,SF802,CZCE,SF,FUTURES,CZCE,,2.0,20180214,CZCE.SF802
v1802,DCE,v,Futures,DCE,,V1802,DCE,V,FUTURES,DCE,,5.0,20180222,DCE.V1802
a1711,DCE,a,Futures,DCE,,A1711,DCE,A,FUTURES,DCE,,1.0,20171114,DCE.A1711
SR711,CZCE,SR,Futures,CZCE,,SR711,CZCE,SR,FUTURES,CZCE,,1.0,20171114,CZCE.SR711
ZC806,CZCE,ZC,Futures,CZCE,,ZC806,CZCE,ZC,FUTURES,CZCE,,0.2,20180607,CZCE.ZC806
TA806,CZCE,TA,Futures,CZCE,,TA806,CZCE,TA,FUTURES,CZCE,,2.0,20180614,CZCE.TA806
au1707,SHFE,au,Futures,SHFE,,AU1707,SHFE,AU,FUTURES,SHFE,,0.05,20170717,SHFE.AU1707
ni1804,SHFE,ni,Futures,SHFE,,NI1804,SHFE,NI,FUTURES,SHFE,,10.0,20180416,SHFE.NI1804
rb1804,SHFE,rb,Futures,SHFE,,RB1804,SHFE,RB,FUTURES,SHFE,,1.0,20180416,SHFE.RB1804
bu1710,SHFE,bu,Futures,SHFE,,BU1710,SHFE,BU,FUTURES,SHFE,,2.0,20171016,SHFE.BU1710
l1806,DCE,l,Futures,DCE,,L1806,DCE,L,FUTURES,DCE,,5.0,20180615,DCE.L1806
hc1804,SHFE,hc,Futures,SHFE,,HC1804,SHFE,HC,FUTURES,SHFE,,1.0,20180416,SHFE.HC1804
sn1804,SHFE,sn,Futures,SHFE,,SN1804,SHFE,SN,FUTURES,SHFE,,10.0,20180416,SHFE.SN1804
cu1804,SHFE,cu,Futures,SHFE,,CU1804,SHFE,CU,FUTURES,SHFE,,10.0,20180416,SHFE.CU1804
ag1804,SHFE,ag,Futures,SHFE,,AG1804,SHFE,AG,FUTURES,SHFE,,1.0,20180416,SHFE.AG1804
zn1804,SHFE,zn,Futures,SHFE,,ZN1804,SHFE,ZN,FUTURES,SHFE,,5.0,20180416,SHFE.ZN1804
al1804,SHFE,al,Futures,SHFE,,AL1804,SHFE,AL,FUTURES,SHFE,,5.0,20180416,SHFE.AL1804
pb1804,SHFE,pb,Futures,SHFE,,PB1804,SHFE,PB,FUTURES,SHFE,,5.0,20180416,SHFE.PB1804
ru1804,SHFE,ru,Futures,SHFE,,RU1804,SHFE,RU,FUTURES,SHFE,,5.0,20180416,SHFE.RU1804
wr1804,SHFE,wr,Futures,SHFE,,WR1804,SHFE,WR,FUTURES,SHFE,,1.0,20180416,SHFE.WR1804
m1711-C-3100,DCE,m_o,Options,DCE,m1711,M1711-C-3100,DCE,M_O,OPTIONS,DCE,M1711,0.5,20171013,DCE.M1711-C-3100
m1711-P-3100,DCE,m_o,Options,DCE,m1711,M1711-P-3100,DCE,M_O,OPTIONS,DCE,M1711,0.5,20171013,DCE.M1711-P-3100
j1806,DCE,j,Futures,DCE,,J1806,DCE,J,FUTURES,DCE,,0.5,20180615,DCE.J1806
bb1806,DCE,bb,Futures,DCE,,BB1806,DCE,BB,FUTURES,DCE,,0.05,20180615,DCE.BB1806
FG806,CZCE,FG,Futures,CZCE,,FG806,CZCE,FG,FUTURES,CZCE,,1.0,20180614,CZCE.FG806
SM806,CZCE,SM,Futures,CZCE,,SM806,CZCE,SM,FUTURES,CZCE,,2.0,20180614,CZCE.SM806
SF806,CZCE,SF,Futures,CZCE,,SF806,CZCE,SF,FUTURES,CZCE,,2.0,20180614,CZCE.SF806
i1806,DCE,i,Futures,DCE,,I1806,DCE,I,FUTURES,DCE,,0.5,20180615,DCE.I1806
fb1806,DCE,fb,Futures,DCE,,FB1806,DCE,FB,FUTURES,DCE,,0.05,20180615,DCE.FB1806
pp1806,DCE,pp,Futures,DCE,,PP1806,DCE,PP,FUTURES,DCE,,1.0,20180615,DCE.PP1806
b1806,DCE,b,Futures,DCE,,B1806,DCE,B,FUTURES,DCE,,1.0,20180615,DCE.B1806
p1806,DCE,p,Futures,DCE,,P1806,DCE,P,FUTURES,DCE,,2.0,20180615,DCE.P1806
v1806,DCE,v,Futures,DCE,,V1806,DCE,V,FUTURES,DCE,,5.0,20180615,DCE.V1806
ZC807,CZCE,ZC,Futures,CZCE,,ZC807,CZCE,ZC,FUTURES,CZCE,,0.2,20180706,CZCE.ZC807
b1805,DCE,b,Futures,DCE,,B1805,DCE,B,FUTURES,DCE,,1.0,20180516,DCE.B1805
m1711-C-2500,DCE,m_o,Options,DCE,m1711,M1711-C-2500,DCE,M_O,OPTIONS,DCE,M1711,0.5,20171013,DCE.M1711-C-2500
m1711-P-2500,DCE,m_o,Options,DCE,m1711,M1711-P-2500,DCE,M_O,OPTIONS,DCE,M1711,0.5,20171013,DCE.M1711-P-2500
m1801-C-2500,DCE,m_o,Options,DCE,m1801,M1801-C-2500,DCE,M_O,OPTIONS,DCE,M1801,0.5,20171207,DCE.M1801-C-2500
m1801-P-2500,DCE,m_o,Options,DCE,m1801,M1801-P-2500,DCE,M_O,OPTIONS,DCE,M1801,0.5,20171207,DCE.M1801-P-2500
ZC709,CZCE,ZC,Futures,CZCE,,ZC709,CZCE,ZC,FUTURES,CZCE,,0.2,20170907,CZCE.ZC709
SR805C6000,CZCE,SR_O,Options,CZCE,SR805,SR805C6000,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805C6000
SR805P6000,CZCE,SR_O,Options,CZCE,SR805,SR805P6000,CZCE,SR_O,OPTIONS,CZCE,SR805,0.5,20180326,CZCE.SR805P6000
bu1906,SHFE,bu,Futures,SHFE,,BU1906,SHFE,BU,FUTURES,SHFE,,2.0,20190617,SHFE.BU1906
cu1806,SHFE,cu,Futures,SHFE,,CU1806,SHFE,CU,FUTURES,SHFE,,10.0,20180615,SHFE.CU1806
zn1806,SHFE,zn,Futures,SHFE,,ZN1806,SHFE,ZN,FUTURES,SHFE,,5.0,20180615,SHFE.ZN1806
hc1806,SHFE,hc,Futures,SHFE,,HC1806,SHFE,HC,FUTURES,SHFE,,1.0,20180615,SHFE.HC1806
ni1806,SHFE,ni,Futures,SHFE,,NI1806,SHFE,NI,FUTURES,SHFE,,10.0,20180615,SHFE.NI1806
sn1806,SHFE,sn,Futures,SHFE,,SN1806,SHFE,SN,FUTURES,SHFE,,10.0,20180615,SHFE.SN1806
rb1806,SHFE,rb,Futures,SHFE,,RB1806,SHFE,RB,FUTURES,SHFE,,1.0,20180615,SHFE.RB1806
wr1806,SHFE,wr,Futures,SHFE,,WR1806,SHFE,WR,FUTURES,SHFE,,1.0,20180615,SHFE.WR1806
al1806,SHFE,al,Futures,SHFE,,AL1806,SHFE,AL,FUTURES,SHFE,,5.0,20180615,SHFE.AL1806
pb1806,SHFE,pb,Futures,SHFE,,PB1806,SHFE,PB,FUTURES,SHFE,,5.0,20180615,SHFE.PB1806
au1709,SHFE,au,Futures,SHFE,,AU1709,SHFE,AU,FUTURES,SHFE,,0.05,20170915,SHFE.AU1709
ru1806,SHFE,ru,Futures,SHFE,,RU1806,SHFE,RU,FUTURES,SHFE,,5.0,20180615,SHFE.RU1806
ag1806,SHFE,ag,Futures,SHFE,,AG1806,SHFE,AG,FUTURES,SHFE,,1.0,20180615,SHFE.AG1806
jm1806,DCE,jm,Futures,DCE,,JM1806,DCE,JM,FUTURES,DCE,,0.5,20180615,DCE.JM1806
MA806,CZCE,MA,Futures,CZCE,,MA806,CZCE,MA,FUTURES,CZCE,,1.0,20180614,CZCE.MA806
fu1801,SHFE,fu,Futures,SHFE,,FU1801,SHFE,FU,FUTURES,SHFE,,1.0,20171229,SHFE.FU1801
jd1806,DCE,jd,Futures,DCE,,JD1806,DCE,JD,FUTURES,DCE,,1.0,20180626,DCE.JD1806
